nohup: ignoring input
============================================================
HAOA — Full Optimization Research Framework
============================================================

──────────────────────────────────────────────────
Running Benchmark: Sphere
──────────────────────────────────────────────────
Iteration 131/300 | Best Score: 2863.7604340373
Iteration 132/300 | Best Score: 2863.7604340373
Iteration 133/300 | Best Score: 2863.7604340373
Iteration 134/300 | Best Score: 2863.7604340373
Iteration 135/300 | Best Score: 2863.7604340373
Iteration 136/300 | Best Score: 2863.7604340373
Iteration 137/300 | Best Score: 2863.7604340373
Iteration 138/300 | Best Score: 2863.7604340373
Iteration 139/300 | Best Score: 2863.7604340373
Iteration 140/300 | Best Score: 2863.7604340373
Iteration 141/300 | Best Score: 2863.7604340373
Iteration 142/300 | Best Score: 2863.7604340373
Iteration 143/300 | Best Score: 2863.7604340373
Iteration 144/300 | Best Score: 2863.7604340373
Iteration 145/300 | Best Score: 2244.9009175521
Iteration 146/300 | Best Score: 2244.9009175521
Iteration 147/300 | Best Score: 1512.7011368732
Iteration 148/300 | Best Score: 1512.7011368732
Iteration 149/300 | Best Score: 1512.7011368732
Iteration 150/300 | Best Score: 1512.7011368732
Iteration 151/300 | Best Score: 1512.7011368732
Iteration 152/300 | Best Score: 1512.7011368732
Iteration 153/300 | Best Score: 1512.7011368732
Iteration 154/300 | Best Score: 1512.7011368732
Iteration 155/300 | Best Score: 1512.7011368732
Iteration 156/300 | Best Score: 1512.7011368732
Iteration 157/300 | Best Score: 1512.7011368732
Iteration 158/300 | Best Score: 1512.7011368732
Iteration 159/300 | Best Score: 1512.7011368732
Iteration 160/300 | Best Score: 1512.7011368732
Iteration 161/300 | Best Score: 1512.7011368732
Iteration 162/300 | Best Score: 1512.7011368732
Iteration 163/300 | Best Score: 1512.7011368732
Iteration 164/300 | Best Score: 1512.7011368732
Iteration 165/300 | Best Score: 1512.7011368732
Iteration 166/300 | Best Score: 1512.7011368732
Iteration 167/300 | Best Score: 1512.7011368732
Iteration 168/300 | Best Score: 1512.7011368732
Iteration 169/300 | Best Score: 1512.7011368732
Iteration 170/300 | Best Score: 1512.7011368732
Iteration 171/300 | Best Score: 1512.7011368732
Iteration 172/300 | Best Score: 1512.7011368732
Iteration 173/300 | Best Score: 1512.7011368732
Iteration 174/300 | Best Score: 1512.7011368732
Iteration 175/300 | Best Score: 1512.7011368732
Iteration 176/300 | Best Score: 1512.7011368732
Iteration 177/300 | Best Score: 1512.7011368732
Iteration 178/300 | Best Score: 1512.7011368732
Iteration 179/300 | Best Score: 1512.7011368732
Iteration 180/300 | Best Score: 1512.7011368732
Iteration 181/300 | Best Score: 1512.7011368732
Iteration 182/300 | Best Score: 1512.7011368732
Iteration 183/300 | Best Score: 1512.7011368732
Iteration 184/300 | Best Score: 1512.7011368732
Iteration 185/300 | Best Score: 1512.7011368732
Iteration 186/300 | Best Score: 1512.7011368732
Iteration 187/300 | Best Score: 1512.7011368732
Iteration 188/300 | Best Score: 1512.7011368732
Iteration 189/300 | Best Score: 1512.7011368732
Iteration 190/300 | Best Score: 1512.7011368732
Iteration 191/300 | Best Score: 1512.7011368732
Iteration 192/300 | Best Score: 1512.7011368732
Iteration 193/300 | Best Score: 1046.2721556291
Iteration 194/300 | Best Score: 1046.2721556291
Iteration 195/300 | Best Score: 1046.2721556291
Iteration 196/300 | Best Score: 1046.2721556291
Iteration 197/300 | Best Score: 1046.2721556291
Iteration 198/300 | Best Score: 1046.2721556291
Iteration 199/300 | Best Score: 1046.2721556291
Iteration 200/300 | Best Score: 1046.2721556291
Iteration 201/300 | Best Score: 1046.2721556291
Iteration 202/300 | Best Score: 1046.2721556291
Iteration 203/300 | Best Score: 1046.2721556291
Iteration 204/300 | Best Score: 1046.2721556291
Iteration 205/300 | Best Score: 1046.2721556291
Iteration 206/300 | Best Score: 1046.2721556291
Iteration 207/300 | Best Score: 1046.2721556291
Iteration 208/300 | Best Score: 1046.2721556291
Iteration 209/300 | Best Score: 1046.2721556291
Iteration 210/300 | Best Score: 1046.2721556291
Iteration 211/300 | Best Score: 1046.2721556291
Iteration 212/300 | Best Score: 1046.2721556291
Iteration 213/300 | Best Score: 1046.2721556291
Iteration 214/300 | Best Score: 1046.2721556291
Iteration 215/300 | Best Score: 1046.2721556291
Iteration 216/300 | Best Score: 1046.2721556291
Iteration 217/300 | Best Score: 1046.2721556291
Iteration 218/300 | Best Score: 726.3242007733
Iteration 219/300 | Best Score: 726.3242007733
Iteration 220/300 | Best Score: 508.6637429361
Iteration 221/300 | Best Score: 508.6637429361
Iteration 222/300 | Best Score: 508.6637429361
Iteration 223/300 | Best Score: 508.6637429361
Iteration 224/300 | Best Score: 508.6637429361
Iteration 225/300 | Best Score: 508.6637429361
Iteration 226/300 | Best Score: 508.6637429361
Iteration 227/300 | Best Score: 508.6637429361
Iteration 228/300 | Best Score: 508.6637429361
Iteration 229/300 | Best Score: 508.6637429361
Iteration 230/300 | Best Score: 508.6637429361
Iteration 231/300 | Best Score: 508.6637429361
Iteration 232/300 | Best Score: 508.6637429361
Iteration 233/300 | Best Score: 501.1657553773
Iteration 234/300 | Best Score: 501.1657553773
Iteration 235/300 | Best Score: 501.1657553773
Iteration 236/300 | Best Score: 501.1657553773
Iteration 237/300 | Best Score: 501.1657553773
Iteration 238/300 | Best Score: 501.1657553773
Iteration 239/300 | Best Score: 501.1657553773
Iteration 240/300 | Best Score: 501.1657553773
Iteration 241/300 | Best Score: 501.1657553773
Iteration 242/300 | Best Score: 501.1657553773
Iteration 243/300 | Best Score: 501.1657553773
Iteration 244/300 | Best Score: 501.1657553773
Iteration 245/300 | Best Score: 501.1657553773
Iteration 246/300 | Best Score: 501.1657553773
Iteration 247/300 | Best Score: 501.1657553773
Iteration 248/300 | Best Score: 501.1657553773
Iteration 249/300 | Best Score: 501.1657553773
Iteration 250/300 | Best Score: 501.1657553773
Iteration 251/300 | Best Score: 501.1657553773
Iteration 252/300 | Best Score: 416.4040297321
Iteration 253/300 | Best Score: 416.4040297321
Iteration 254/300 | Best Score: 416.4040297321
Iteration 255/300 | Best Score: 416.4040297321
Iteration 256/300 | Best Score: 416.4040297321
Iteration 257/300 | Best Score: 416.4040297321
Iteration 258/300 | Best Score: 416.4040297321
Iteration 259/300 | Best Score: 416.4040297321
Iteration 260/300 | Best Score: 416.4040297321
Iteration 261/300 | Best Score: 399.5832780616
Iteration 262/300 | Best Score: 399.5832780616
Iteration 263/300 | Best Score: 399.5832780616
Iteration 264/300 | Best Score: 399.5832780616
Iteration 265/300 | Best Score: 356.6109348416
Iteration 266/300 | Best Score: 356.6109348416
Iteration 267/300 | Best Score: 335.8216533440
Iteration 268/300 | Best Score: 335.8216533440
Iteration 269/300 | Best Score: 335.8216533440
Iteration 270/300 | Best Score: 335.8216533440
Iteration 271/300 | Best Score: 291.6091191335
Iteration 272/300 | Best Score: 291.6091191335
Iteration 273/300 | Best Score: 288.2865228626
Iteration 274/300 | Best Score: 288.2865228626
Iteration 275/300 | Best Score: 224.2739305864
Iteration 276/300 | Best Score: 190.1199468269
Iteration 277/300 | Best Score: 190.1199468269
Iteration 278/300 | Best Score: 190.1199468269
Iteration 279/300 | Best Score: 190.1199468269
Iteration 280/300 | Best Score: 190.1199468269
Iteration 281/300 | Best Score: 185.9621520584
Iteration 282/300 | Best Score: 185.9621520584
Iteration 283/300 | Best Score: 185.9621520584
Iteration 284/300 | Best Score: 183.6643455170
Iteration 285/300 | Best Score: 147.3027551959
Iteration 286/300 | Best Score: 105.1185382790
Iteration 287/300 | Best Score: 87.3602338952
Iteration 288/300 | Best Score: 72.9775013156
Iteration 289/300 | Best Score: 70.3863342810
Iteration 290/300 | Best Score: 69.0732020544
Iteration 291/300 | Best Score: 45.4799569322
Iteration 292/300 | Best Score: 45.4799569322
Iteration 293/300 | Best Score: 45.4799569322
Iteration 294/300 | Best Score: 45.0289650733
Iteration 295/300 | Best Score: 29.0710448086
Iteration 296/300 | Best Score: 29.0710448086
Iteration 297/300 | Best Score: 13.0279721666
Iteration 298/300 | Best Score: 13.0279721666
Iteration 299/300 | Best Score: 13.0279721666
Iteration 300/300 | Best Score: 13.0279721666

Best Score: 13.0279721666
Execution Time: 0.3284 sec

──────────────────────────────────────────────────
Running Benchmark: Rastrigin
──────────────────────────────────────────────────
Iteration 1/300 | Best Score: 122.5232363955
Iteration 2/300 | Best Score: 122.5232363955
Iteration 3/300 | Best Score: 122.5232363955
Iteration 4/300 | Best Score: 118.0080254311
Iteration 5/300 | Best Score: 102.8361066756
Iteration 6/300 | Best Score: 102.8361066756
Iteration 7/300 | Best Score: 102.8361066756
Iteration 8/300 | Best Score: 102.5476284273
Iteration 9/300 | Best Score: 102.5476284273
Iteration 10/300 | Best Score: 93.5463314112
Iteration 11/300 | Best Score: 93.5463314112
Iteration 12/300 | Best Score: 93.5463314112
Iteration 13/300 | Best Score: 93.5463314112
Iteration 14/300 | Best Score: 93.5463314112
Iteration 15/300 | Best Score: 93.5463314112
Iteration 16/300 | Best Score: 93.5463314112
Iteration 17/300 | Best Score: 93.5463314112
Iteration 18/300 | Best Score: 93.5463314112
Iteration 19/300 | Best Score: 93.5463314112
Iteration 20/300 | Best Score: 93.5463314112
Iteration 21/300 | Best Score: 93.5463314112
Iteration 22/300 | Best Score: 93.5463314112
Iteration 23/300 | Best Score: 93.5463314112
Iteration 24/300 | Best Score: 93.5463314112
Iteration 25/300 | Best Score: 82.7625974089
Iteration 26/300 | Best Score: 82.7625974089
Iteration 27/300 | Best Score: 82.7625974089
Iteration 28/300 | Best Score: 82.7625974089
Iteration 29/300 | Best Score: 82.7625974089
Iteration 30/300 | Best Score: 82.7625974089
Iteration 31/300 | Best Score: 82.7625974089
Iteration 32/300 | Best Score: 82.7625974089
Iteration 33/300 | Best Score: 82.7625974089
Iteration 34/300 | Best Score: 82.7625974089
Iteration 35/300 | Best Score: 82.7625974089
Iteration 36/300 | Best Score: 82.7625974089
Iteration 37/300 | Best Score: 82.7625974089
Iteration 38/300 | Best Score: 82.7625974089
Iteration 39/300 | Best Score: 82.7625974089
Iteration 40/300 | Best Score: 82.7625974089
Iteration 41/300 | Best Score: 82.7625974089
Iteration 42/300 | Best Score: 82.7625974089
Iteration 43/300 | Best Score: 82.7625974089
Iteration 44/300 | Best Score: 82.7625974089
Iteration 45/300 | Best Score: 82.7625974089
Iteration 46/300 | Best Score: 82.7625974089
Iteration 47/300 | Best Score: 82.7625974089
Iteration 48/300 | Best Score: 82.7625974089
Iteration 49/300 | Best Score: 82.7625974089
Iteration 50/300 | Best Score: 82.7625974089
Iteration 51/300 | Best Score: 82.7625974089
Iteration 52/300 | Best Score: 82.7625974089
Iteration 53/300 | Best Score: 82.7625974089
Iteration 54/300 | Best Score: 82.7625974089
Iteration 55/300 | Best Score: 82.7625974089
Iteration 56/300 | Best Score: 82.7625974089
Iteration 57/300 | Best Score: 82.7625974089
Iteration 58/300 | Best Score: 82.7625974089
Iteration 59/300 | Best Score: 82.7625974089
Iteration 60/300 | Best Score: 82.7625974089
Iteration 61/300 | Best Score: 82.7625974089
Iteration 62/300 | Best Score: 82.7625974089
Iteration 63/300 | Best Score: 82.7625974089
Iteration 64/300 | Best Score: 82.7625974089
Iteration 65/300 | Best Score: 82.7625974089
Iteration 66/300 | Best Score: 82.7625974089
Iteration 67/300 | Best Score: 82.7625974089
Iteration 68/300 | Best Score: 82.7625974089
Iteration 69/300 | Best Score: 82.2179797108
Iteration 70/300 | Best Score: 82.2179797108
Iteration 71/300 | Best Score: 82.2179797108
Iteration 72/300 | Best Score: 82.2179797108
Iteration 73/300 | Best Score: 82.2179797108
Iteration 74/300 | Best Score: 82.2179797108
Iteration 75/300 | Best Score: 82.2179797108
Iteration 76/300 | Best Score: 82.2179797108
Iteration 77/300 | Best Score: 82.2179797108
Iteration 78/300 | Best Score: 82.2179797108
Iteration 79/300 | Best Score: 82.2179797108
Iteration 80/300 | Best Score: 82.2179797108
Iteration 81/300 | Best Score: 82.2179797108
Iteration 82/300 | Best Score: 82.2179797108
Iteration 83/300 | Best Score: 82.2179797108
Iteration 84/300 | Best Score: 82.2179797108
Iteration 85/300 | Best Score: 82.2179797108
Iteration 86/300 | Best Score: 82.2179797108
Iteration 87/300 | Best Score: 82.2179797108
Iteration 88/300 | Best Score: 82.2179797108
Iteration 89/300 | Best Score: 82.2179797108
Iteration 90/300 | Best Score: 82.2179797108
Iteration 91/300 | Best Score: 82.2179797108
Iteration 92/300 | Best Score: 82.2179797108
Iteration 93/300 | Best Score: 82.2179797108
Iteration 94/300 | Best Score: 82.2179797108
Iteration 95/300 | Best Score: 82.2179797108
Iteration 96/300 | Best Score: 82.2179797108
Iteration 97/300 | Best Score: 82.2179797108
Iteration 98/300 | Best Score: 82.2179797108
Iteration 99/300 | Best Score: 82.2179797108
Iteration 100/300 | Best Score: 82.2179797108
Iteration 101/300 | Best Score: 82.2179797108
Iteration 102/300 | Best Score: 82.2179797108
Iteration 103/300 | Best Score: 82.2179797108
Iteration 104/300 | Best Score: 82.2179797108
Iteration 105/300 | Best Score: 82.2179797108
Iteration 106/300 | Best Score: 82.2179797108
Iteration 107/300 | Best Score: 82.2179797108
Iteration 108/300 | Best Score: 82.2179797108
Iteration 109/300 | Best Score: 82.2179797108
Iteration 110/300 | Best Score: 82.2179797108
Iteration 111/300 | Best Score: 80.4240870969
Iteration 112/300 | Best Score: 80.4240870969
Iteration 113/300 | Best Score: 80.4240870969
Iteration 114/300 | Best Score: 79.9116642997
Iteration 115/300 | Best Score: 79.9116642997
Iteration 116/300 | Best Score: 79.9116642997
Iteration 117/300 | Best Score: 79.9116642997
Iteration 118/300 | Best Score: 79.9116642997
Iteration 119/300 | Best Score: 79.9116642997
Iteration 120/300 | Best Score: 79.9116642997
Iteration 121/300 | Best Score: 74.1005192498
Iteration 122/300 | Best Score: 74.1005192498
Iteration 123/300 | Best Score: 74.1005192498
Iteration 124/300 | Best Score: 74.1005192498
Iteration 125/300 | Best Score: 74.1005192498
Iteration 126/300 | Best Score: 74.1005192498
Iteration 127/300 | Best Score: 74.1005192498
Iteration 128/300 | Best Score: 74.1005192498
Iteration 129/300 | Best Score: 74.1005192498
Iteration 130/300 | Best Score: 74.1005192498
Iteration 131/300 | Best Score: 74.1005192498
Iteration 132/300 | Best Score: 64.1436834978
Iteration 133/300 | Best Score: 64.1436834978
Iteration 134/300 | Best Score: 64.1436834978
Iteration 135/300 | Best Score: 64.1436834978
Iteration 136/300 | Best Score: 64.1436834978
Iteration 137/300 | Best Score: 64.1436834978
Iteration 138/300 | Best Score: 64.1436834978
Iteration 139/300 | Best Score: 64.1436834978
Iteration 140/300 | Best Score: 64.1436834978
Iteration 141/300 | Best Score: 64.1436834978
Iteration 142/300 | Best Score: 64.1436834978
Iteration 143/300 | Best Score: 64.1436834978
Iteration 144/300 | Best Score: 64.1436834978
Iteration 145/300 | Best Score: 64.1436834978
Iteration 146/300 | Best Score: 64.1436834978
Iteration 147/300 | Best Score: 64.1436834978
Iteration 148/300 | Best Score: 64.1436834978
Iteration 149/300 | Best Score: 55.3164986366
Iteration 150/300 | Best Score: 55.3164986366
Iteration 151/300 | Best Score: 55.3164986366
Iteration 152/300 | Best Score: 55.3164986366
Iteration 153/300 | Best Score: 55.3164986366
Iteration 154/300 | Best Score: 55.3164986366
Iteration 155/300 | Best Score: 55.3164986366
Iteration 156/300 | Best Score: 55.3164986366
Iteration 157/300 | Best Score: 55.3164986366
Iteration 158/300 | Best Score: 55.3164986366
Iteration 159/300 | Best Score: 55.3164986366
Iteration 160/300 | Best Score: 55.3164986366
Iteration 161/300 | Best Score: 55.3164986366
Iteration 162/300 | Best Score: 55.3164986366
Iteration 163/300 | Best Score: 55.3164986366
Iteration 164/300 | Best Score: 55.3164986366
Iteration 165/300 | Best Score: 55.3164986366
Iteration 166/300 | Best Score: 55.3164986366
Iteration 167/300 | Best Score: 55.3164986366
Iteration 168/300 | Best Score: 55.3164986366
Iteration 169/300 | Best Score: 55.3164986366
Iteration 170/300 | Best Score: 55.3164986366
Iteration 171/300 | Best Score: 55.3164986366
Iteration 172/300 | Best Score: 55.3164986366
Iteration 173/300 | Best Score: 55.3164986366
Iteration 174/300 | Best Score: 55.3164986366
Iteration 175/300 | Best Score: 55.3164986366
Iteration 176/300 | Best Score: 55.3164986366
Iteration 177/300 | Best Score: 55.3164986366
Iteration 178/300 | Best Score: 55.3164986366
Iteration 179/300 | Best Score: 55.3164986366
Iteration 180/300 | Best Score: 55.3164986366
Iteration 181/300 | Best Score: 55.3164986366
Iteration 182/300 | Best Score: 55.3164986366
Iteration 183/300 | Best Score: 55.3164986366
Iteration 184/300 | Best Score: 55.3164986366
Iteration 185/300 | Best Score: 55.3164986366
Iteration 186/300 | Best Score: 55.3164986366
Iteration 187/300 | Best Score: 55.3164986366
Iteration 188/300 | Best Score: 55.3164986366
Iteration 189/300 | Best Score: 55.3164986366
Iteration 190/300 | Best Score: 55.3164986366
Iteration 191/300 | Best Score: 55.3164986366
Iteration 192/300 | Best Score: 55.3164986366
Iteration 193/300 | Best Score: 55.3164986366
Iteration 194/300 | Best Score: 55.3164986366
Iteration 195/300 | Best Score: 54.5097334901
Iteration 196/300 | Best Score: 54.5097334901
Iteration 197/300 | Best Score: 54.5097334901
Iteration 198/300 | Best Score: 54.5097334901
Iteration 199/300 | Best Score: 50.4855269293
Iteration 200/300 | Best Score: 50.4855269293
Iteration 201/300 | Best Score: 50.4855269293
Iteration 202/300 | Best Score: 50.4855269293
Iteration 203/300 | Best Score: 50.4855269293
Iteration 204/300 | Best Score: 50.4855269293
Iteration 205/300 | Best Score: 50.4855269293
Iteration 206/300 | Best Score: 50.4855269293
Iteration 207/300 | Best Score: 50.4855269293
Iteration 208/300 | Best Score: 50.4855269293
Iteration 209/300 | Best Score: 50.4855269293
Iteration 210/300 | Best Score: 50.4855269293
Iteration 211/300 | Best Score: 50.4855269293
Iteration 212/300 | Best Score: 50.4855269293
Iteration 213/300 | Best Score: 50.4855269293
Iteration 214/300 | Best Score: 50.4855269293
Iteration 215/300 | Best Score: 50.4855269293
Iteration 216/300 | Best Score: 50.4855269293
